movie_id,movie_name,movie_type,length,release_time,box_office,story,post_src,baike_link,director,screenwriter,performer,area
655823,红海行动,动作/剧情/犯罪,138min,2018-02-16,364718.600,故事以也门撤侨，保护中国侨民利益为背景，讲述了中国海军某护航舰队奉命执行撤侨任务的惊险过程。外景地选在了与也门风景类似的摩洛哥，预计6月完成摩洛哥的拍摄部分。该片将作为中国建军90周年以及党的“十九大”献礼重点影片。,NULL,NULL,林超贤,冯骥,NULL,中国/中国香港
663419,唐人街探案2,喜剧/动作/悬疑,120min,2018-02-16,339666.200,"唐仁（王宝强 饰）为巨额奖金欺骗秦风（刘昊然 饰）到纽约参加世界名侦探大赛，然而随着和世界各国侦探们啼笑皆非的较量，两人却发现了隐藏在这次挑战背后的更大秘密...",NULL,NULL,陈思诚,陈思诚,NULL,中国
656875,捉妖记2,喜剧/奇幻,111min,2018-02-16,223665.600,"上一集与胡巴分别后，天荫带着小岚踏上寻父之路，在义薄云天的天师堂堂主云青的帮助下，二人得知天荫父亲宋戴天的护妖轨迹；而重回永宁村的胡巴再度被妖王追杀，颠沛流离逃亡时结识大赌徒屠四谷和一只妖怪，三人一起过着相依为命的生活，但又因屠四谷欠下的巨额赌债横生诸多波折。与此同时，江湖盛传小妖王胡巴的重金悬赏令，妖界大军、天师精英、绿林草莽闻风而动，多方势力为抢夺胡巴在清水镇掀起腥风血雨。千钧一发之际，念子心切的天荫和小岚通过天师堂找到胡巴并一起逃离险境。岂料，一场更大的惊天阴谋尾随而至，伺机而动…… ",NULL,NULL,许诚毅,吴炜伦,NULL,中国
657862,头号玩家,科幻,NULL,2018-03-30,136509.700,"在2045年，现实世界衰退破败，人们沉迷于VR(虚拟现实)游戏“绿洲(OASIS)”的虚幻世界里寻求慰藉。马克·里朗斯饰演的“绿洲”的创始人临终前宣布，将亿万身家全部留给寻获他隐藏的彩蛋的游戏玩家，史上最大规模的寻宝冒险就此展开，由泰伊·谢里丹饰演的男主角韦德·沃兹(Wade Watts/Parzival)和数十亿竞争者踏上奇妙而又危机重重的旅途。",NULL,NULL," 史蒂文·斯皮尔伯格"," 扎克·佩恩",NULL,美国
663327,后来的我们,爱情/剧情,120min,2018-04-28,97587.300,"这是一个爱情故事，关于一对异乡漂泊的年轻人。

十年前，见清和小晓偶然地相识在归乡过年的火车上。两人怀揣着共同的梦想，一起在北京打拼，并开始了一段相聚相离的情感之路。

十年后，见清和小晓在飞机上再次偶然重逢……

命运似乎是一个轮回。在一次次的偶然下，平行线交叉，再平行，故事始终有“然后”。可后来的他们，学会如何去爱了吗？",NULL,NULL,刘若英," 袁媛",NULL,中国
676242,狂暴巨兽,动作/科幻,107min,2018-04-13,88952.600,"巨石强森饰演的灵长类动物学家一直与人类保持距离, 却跟极为聪明的银背大猩猩乔治有着深厚的感情。但是一次基因实验出错, 让这只温驯的大猩猩变成狂怒难驯的庞然巨兽。更可怕的是, 其他动物也发生了同样基因异变。他必须阻止这场全球性的灾难, 更重要是要拯救他的好友乔治。",NULL,NULL," 布拉德·佩顿"," 卡尔顿·库思",NULL,美国
589946,无问西东,爱情/战争/剧情,138min,2018-01-12,75394.300,"如果提前了解了你要面对的人生，你是否还会有勇气前来？吴岭澜、沈光耀、王敏佳、陈鹏、张果果，

几个年轻人满怀诸多渴望，在四个非同凡响的时空中一路前行。他们在最好的年纪迎来了最残酷的考验，

并成就了永不褪色的青春传奇。 ",NULL,NULL,李芳芳,李芳芳,NULL,中国
670328,神秘巨星,剧情/歌舞/喜剧,150min,2018-01-19,74675.100,"14岁的印度少女尹希娅(塞伊拉·沃西 饰)热爱唱歌,因父亲阻挠,她只能蒙面拍摄并上传自弹自唱原创歌曲的视频,孰料凭借天籁歌喉在网上一炮而红,备受争议的音乐人夏克提·库马尔(阿米尔·汗 饰)也向她抛出橄榄枝,尹希娅的生活发生了翻天覆地的变化......",NULL,NULL,阿瓦提·钱德安,阿瓦提·钱德安,NULL,印度
644530,西游记女儿国,喜剧/爱情/动作/奇幻,116min,2018-02-16,72721.300,唐僧师徒途经忘川河，因激怒河神而误入西梁女界。闯入其中，众人才发现这个国家只有女性，并且建国以来此地就没来过男性。而且国中立有祖训，将男人视为天敌。典籍中更有预言，指明有朝一日，会有东土而来的僧人带着一只猴子、一头猪和一个小蓝人闯入其中。他们到来之日，便是女儿国走向毁灭之时。,NULL,NULL," 郑保瑞",文宁,NULL,中国
644135,黑豹,动作/科幻/冒险,134min,2018-03-09,66227.100,"在漫威影业的影片《黑豹》中，特查拉在其父亲——前瓦坎达国王去世之后，回到了这个科技先进但与世隔绝的非洲国家，继任成为新一任“黑豹”及国王。当旧敌重现时，作为“黑豹”及国王的特查拉身陷两难境地，眼看着瓦坎达及全世界陷于危难之中。面对背叛与危险，这位年轻的国王必须联合同盟， 释放“黑豹”全部力量，奋力捍卫他的人民和国土。",NULL,NULL," 瑞恩·库格勒"," 杰克·科比",NULL,美国
657865,环太平洋2：雷霆再起,科幻/冒险/动作,111min,2018-03-23,63257.900,故事发生在距前作十年之后的2035年，面对更加强大的怪兽卷土重来，由年轻一代组成的机甲驾驶员们再次操控巨型机甲奋起抵抗。而他们能否肩负起拯救全人类命运的重任，让人拭目以待。新片将呈现出更加宏大且复杂的机甲世界，本次全面升级的机甲拥有更加炫目强大的功能与战斗力，与进化后更强大、更有组织性的怪兽之间的对战。,NULL,NULL," 斯蒂文·S·迪奈特"," T.S.诺林",NULL,美国
